index,Altmetric_Attention_Score,Title,Journal/Collection_Title,Output_Type,OA_Status,OA_Type,Subjects_(FoR),Affiliations_(GRID),Publication_Date
57815,4568,Ivermectin: a systematic review from antiviral effects to COVID-19 complementary regimen,Journal of Antibiotics,Article,True,bronze,11 Medical and Health Sciences; 1108 Medical Microbiology; 32 Biomedical and Clinical Sciences; 3214 Pharmacology and Pharmaceutical Sciences,Ahvaz Jundishapur University of Medical Sciences; University of Tehran,2020-06-12
57816,3149,Global quieting of high-frequency seismic noise due to COVID-19 pandemic lockdown measures,Science,Article,True,bronze,04 Earth Sciences; 0404 Geophysics; 37 Earth Sciences; 3706 Geophysics,"August Pi i Sunyer Biomedical Research Institute; Australian National University; Boğaziçi University; Boston College; California Institute of Technology; Central Institution for Meteorology and Geodynamics; Delft University of Technology; Dublin Institute For Advanced Studies; ETH Zurich; European Center for Geodynamics and Seismology; Federal Institute for Geosciences and Natural Resources; French National Centre for Scientific Research; Hellenic Mediterranean University; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Imperial College London; Institut de Physique du Globe de Paris; Institut des Sciences de la Terre; Institut d'Estudis Catalans; Instituto Geofísico del Perú; Institutul National de Cercetare si Dezvoltare pentru Fizica Pamantului; Ludwig-Maximilians-Universität München; McGill University; National Autonomous University of Mexico; National Institute of Geophysics and Volcanology; National Observatory of Athens; Norwegian Geotechnical Institute; Observatorio San Calixto; Princeton University; Raytheon Technologies (United States); Royal Holloway University of London; Royal Netherlands Meteorological Institute; Royal Observatory of Belgium; Search for Extraterrestrial Intelligence; Stanford University; United States Geological Survey; Universidad Nacional de Costa Rica; University of Aberdeen; University of Alaska Fairbanks; University of Auckland; University of Bergen; University of Bristol; University of British Columbia; University of California, Berkeley; University of California, Riverside; University of California, Santa Barbara; University of Catania; University of Chile; University of Cologne; University of Costa Rica; University of Helsinki; University of Lausanne; University of Maine; University of Michigan–Ann Arbor; University of Oxford; University of Patras; University of Strasbourg; University of Tehran; Victoria University of Wellington",2020-09-11
57817,2766,Origins and genetic legacy of prehistoric dogs,Science,Article,True,green,"06 Biological Sciences; 0604 Genetics; 21 History and Archaeology; 2101 Archaeology; 31 Biological Sciences; 3105 Genetics; 43 History, Heritage and Archaeology; 4303 Historical Studies; 44 Human Society; 4401 Anthropology","Arheološki Institut; Baylor University; Centre for Palaeogenetics; Durham University; Hartwick College; Harvard University; Hebrew University of Jerusalem; Hellenic Ministry of Culture and Sports; Institute for Anthropological Research; Institute of Archaeology, Donji grad, Croatia; Institute of Archaeology, Moscow, Russia; Institute of Ethnology and Folklore Research; Irkutsk State University; Istanbul University Cerrahpaşa; Leiden University; Liverpool John Moores University; Ludwig-Maximilians-Universität München; National Historical Museums; National Museum of Natural History, Washington D.C., United States; National Research Tomsk State University; North-Eastern Federal University; Pennsylvania State University; Queen Mary University of London; Royal Belgian Institute of Natural Sciences; Sapienza University of Rome; Simon Fraser University; Stockholm University; Swedish Museum of Natural History; Texas A&M University; The Francis Crick Institute; The University of Sydney; University College Dublin; University College London; University of Aberdeen; University of Alberta; University of Belgrade; University of Copenhagen; University of Gothenburg; University of Haifa; University of Liverpool; University of Oxford; University of Porto; University of Tehran; University of the Basque Country; University of Thessaly; University of Vienna; University of York; V.S. Sobolev Institute of Geology and Mineralogy; Zoological Institute",2020-10-30
48945,2043,Ancient genomes revisit the ancestry of domestic and Przewalski’s horses,Science,Article,True,green,"21 History and Archaeology; 2101 Archaeology; 30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 31 Biological Sciences; 3105 Genetics; 43 History, Heritage and Archaeology; 4301 Archaeology; 4303 Historical Studies","Abdul Wali Khan University Mardan; Al-Farabi Kazakh National University; Archéologies et Sciences de l’Antiquité; Deutsches Archäologisches Institut, Berlin, Germany; Hartwick College; Institute of History of Material Culture; Istanbul University; King Saud University; Leibniz Institute for Zoo and Wildlife Research; Ludwig-Maximilians-Universität München; Max Planck Institute for the Science of Human History; National University of Mongolia; S. Toraighyrov Pavlodar State University; Tallinn University; Tarbiat Modares University; University of Cambridge; University of Copenhagen; University of Exeter; University of Kansas; University of Potsdam; University of Tehran; University of Veterinary Medicine Vienna; Wellcome Trust",2018-04-06
57818,2043,Ancient genomes revisit the ancestry of domestic and Przewalski’s horses,Science,Article,True,green,"21 History and Archaeology; 2101 Archaeology; 30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 31 Biological Sciences; 3105 Genetics; 43 History, Heritage and Archaeology; 4301 Archaeology; 4303 Historical Studies","Abdul Wali Khan University Mardan; Al-Farabi Kazakh National University; Archéologies et Sciences de l’Antiquité; Deutsches Archäologisches Institut, Berlin, Germany; Hartwick College; Institute of History of Material Culture; Istanbul University; King Saud University; Leibniz Institute for Zoo and Wildlife Research; Ludwig-Maximilians-Universität München; Max Planck Institute for the Science of Human History; National University of Mongolia; S. Toraighyrov Pavlodar State University; Tallinn University; Tarbiat Modares University; University of Cambridge; University of Copenhagen; University of Exeter; University of Kansas; University of Potsdam; University of Tehran; University of Veterinary Medicine Vienna; Wellcome Trust",2018-04-06
0,1629,"COVID-19 and male reproductive function: a prospective, longitudinal cohort study",Reproduction,Article,True,bronze,11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine; 31 Biological Sciences; 3101 Biochemistry and Cell Biology; 32 Biomedical and Clinical Sciences; 3215 Reproductive Medicine,Allameh Tabataba'i University; University of Giessen,2021-03-01
57819,1502,The origins and spread of domestic horses from the Western Eurasian steppes,Nature,Article,True,hybrid,"21 History and Archaeology; 2101 Archaeology; 30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 31 Biological Sciences; 43 History, Heritage and Archaeology; 4301 Archaeology; 4303 Historical Studies","Abdul Wali Khan University Mardan; Academy of Sciences of Moldova; Al-Farabi Kazakh National University; Altai State University; Archaeological Institute of America; Arctic and Antarctic Research Institute; Austrian Archeological Institute; Autonomous University of Madrid; Bavarian Natural History Collections; Complutense University of Madrid; Curtin University; Czech Academy of Sciences; Deutsches Archäologisches Institut, Berlin, Germany; Eötvös Loránd University; Estonian Biocentre; French National Centre for Scientific Research; Genoscope; Geological Institute; Georgian National Museum; Government of Extremadura; Hartwick College; Harvard University; Humboldt-Universität zu Berlin; Institute of Archaeology, Moscow, Russia; Institute of Archaeology, Budapest, Hungary; Institute of History of Material Culture; Institute of Plant and Animal Ecology; Institute of Systematics and Evolution of Animals; Jagiellonian University; Jaume I University; Kazan Federal University; Kiel University; King Saud University; Kyrgyz-Turkish Manas University; Leibniz Institute for Zoo and Wildlife Research; Leiden University; Lipetsk State Pedagogical University; L. N. Gumilyov Eurasian National University; Lomonosov Moscow State University; Ludwig-Maximilians-Universität München; Lundbeck Foundation; Max Planck Institute for Evolutionary Anthropology; Max Planck Institute for the Science of Human History; Mongolian Academy of Sciences; National Academy of Sciences of Ukraine; National University of Mongolia; Natural History Museum of Geneva; New York University; Orenburg State Pedagogical University; Paul Sabatier University; Polish Academy of Sciences; Research Centre for the Humanities; Romanian Academy; Royal Belgian Institute of Natural Sciences; Samara State University of Social Sciences and Education; Siberian Branch of the Russian Academy of Sciences; South Ural State University; Spanish National Research Council; State Hermitage Museum; Tallinn University; Tbilisi State University; University of Adelaide; University of Bamberg; University of Barcelona; University of California, Irvine; University of California, Santa Cruz; University of California System; University of Colorado Boulder; University of Copenhagen; University of Edinburgh; University of Exeter; University of Extremadura; University of Geneva; University of Gothenburg; University of Kansas; University of Lleida; University of Milan; University of North Carolina at Chapel Hill; University of Potsdam; University of Tartu; University of Tehran; University of Tübingen; University of Veterinary Medicine Vienna; Ural Branch of the Russian Academy of Sciences; Ural Federal University; Vilnius University; Władysław Szafer Institute of Botany; Zoological Institute",2021-10-20
6214,1410,Relationship between blood clots and COVID-19 vaccines: A literature review,Open Life Sciences,Article,True,gold,06 Biological Sciences; 31 Biological Sciences,Pasteur Institute of Iran; Shahid Beheshti University; Shahid Beheshti University of Medical Sciences,2022-04-26
28021,1367,"Mapping 123 million neonatal, infant and child deaths between 2000 and 2017",Nature,Article,True,hybrid,11 Medical and Health Sciences; 1117 Public Health and Health Services; 42 Health Sciences; 4206 Public Health; 44 Human Society; 4406 Human Geography,"Aarhus University; Addis Ababa University; African Population and Health Research Center; Aga Khan University, Karachi, Pakistan; Ahmadu Bello University; Ahvaz Jundishapur University of Medical Sciences; Ain Shams University; Aksum University; Alexandria University; Alfaisal University; Amirkabir University of Technology; Amrita Institute of Medical Sciences and Research Centre; Antwerp University Hospital; Arak University of Medical Sciences; Arba Minch University; Ardabil University of Medical Sciences; Ateneo de Manila University; Atlanta VA Medical Center; A.T. Still University; Australian Catholic University; Australian National University; Australian Red Cross Lifeblood; Autonomous University of Madrid; Autonomous University of Sinaloa; Babol University of Medical Sciences; Bahir Dar University; Baker IDI Heart and Diabetes Institute; Ball State University; Beijing Tongren Hospital; Bielefeld University; Birjand University of Medical Sciences; Birmingham City University; Bournemouth University; BRAC University; Brighton and Sussex Medical School; Cairo University; Campus Kristiania; Cardiff University; Carol Davila University of Medicine and Pharmacy; Catholic University of Portugal; Central University of Kerala; Centre for Healthy Start Initiative; Centre for the AIDS Programme of Research in South Africa; Centro de Investigación Biomédica en Red de Salud Mental; Chalmers University of Technology; Chinese University of Hong Kong; Clinical Emergency Hospital Bucharest; Curtin University; Damietta University; Deakin University; Debre Berhan University; Delhi Technological University; Department of Health and Social Affairs; Dezful University of Medical Sciences; Dilla University; Dongguk University; Dow University of Health Sciences; Dr. D. Y. Patil Medical College, Hospital and Research Centre; Duke Kunshan University; Duy Tan University; Emory University; Employees' State Insurance Model Hospital; Federal Institute for Population Research; Federal University of Bahia; Federal University of Rio Grande do Sul; Federal University of Uberlândia; Finnish Institute of Occupational Health; Foundation University Medical College; Friedrich Schiller University Jena; Gandhi Medical College; George Institute for Global Health, New Delhi, India; Ghent University; Golestan University of Medical Sciences; Gomal University; Guilan University of Medical Sciences; Gulu University; Hamad bin Khalifa University; Hamad Medical Corporation; Hamdan Bin Mohammed Smart University; Hamedan University of Medical Sciences; Hanoi Medical University; Hanoi National University of Education; Haramaya University; Harvard University; Healis Sekhsaria Institute For Public Health; Health Services Academy; Heidelberg University, Heidelberg, Germany; Helsinki University Hospital; Hong Kong Polytechnic University; Hospital for Sick Children; Hospital Universitario de la Princesa; Hospital Universitario HM Madrid; IIHMR University; Imam Abdulrahman Bin Faisal University; Imam Muhammad ibn Saud Islamic University; Imperial College London; Indian Institute of Technology Delhi; Institució Catalana de Recerca i Estudis Avançats; Institute for Research in Fundamental Sciences; Instituto Conmemorativo Gorgas de Estudios de la Salud; Instituto de Salud Carlos III; Instituto Nacional de Salud, Lima, Peru; Instituto Nacional de Salud Pública; International Centre for Diarrhoeal Disease Research; International Institute for Population Sciences; International Medical University; Iran University of Medical Sciences; Isfahan University of Medical Sciences; Islamic Azad University, Karaj; Italian Association for Cancer Research; Jackson State University; Jahrom University of Medical Sciences; Jazan University; Jimma University; John H. Stroger, Jr. Hospital of Cook County; Johns Hopkins University; Jordan University of Science and Technology; Jos University Teaching Hospital; JSS University; Kaiser Permanente; Karolinska Institute; Kathmandu University; Kermanshah University of Medical Sciences; Kerman University of Medical Sciences; King Saud University; King's College London; Klinički centar Srbije; Kobe University; Kosin University; Kurdistan University of Medical Sciences; Kuwait University; Kyrgyz State Medical Academy; La Trobe University; Liverpool School of Tropical Medicine; London School of Hygiene & Tropical Medicine; Lorestan University of Medical Sciences; Mansoura University; Mario Negri Institute for Pharmacological Research; Martin Luther University Halle-Wittenberg; Mashhad University of Medical Sciences; Mayo Clinic, Rochester, United States; Mazandaran University of Medical Sciences; McMaster University; Medical University of Ilam; Medichem (Spain); Mekelle University; Michigan State University; Ministry of Health, Riyadh, Saudi Arabia; Mizan Tepi University; Monash University; Moscow Institute of Physics and Technology; MRC Epidemiology Unit; Muhammadiyah University of Surakarta; Murdoch Children's Research Institute; Næstved, Slagelse and Ringsted Hospitals; Nanjing University; Nanyang Technological University; National Autonomous University of Mexico; National Center of Neurology and Psychiatry; National Institute of Cancer Prevention and Research; National Institute of Cholera and Enteric Diseases; National Institute of Infectious Diseases; National Research University Higher School of Economics; National University of Colombia; National University of Malaysia; National University of Singapore; Nepal Academy of Science and Technology; Nepal Health Research Council; NIHR Oxford Musculoskeletal Biomedical Research Centre; Nishtar Medical College and Hospital; Nizam's Institute of Medical Sciences; Ohio University; Opole University; Örebro University; Osaka International Cancer Institute; OsloMet – Oslo Metropolitan University; Oswaldo Cruz Foundation; Ottawa Hospital; Pacific Institute For Research and Evaluation; Panjab University; Pfizer (United States); Policlinico S.Orsola-Malpighi; Population Council, New Delhi, India; Post Graduate Institute of Medical Education and Research; PSG Institute of Medical Sciences & Research; Public Health Agency of Canada; Public Health England; Public Health Foundation of India; Qatar Foundation; Qazvin University of Medical Sciences; Qom University of Medical Science and Health Services; Queensland Health; Queensland University of Technology; Radboud University Nijmegen; Raffles Neuroscience Centre; Rafsanjan University of Medical Sciences; Royal Children's Hospital; Salahaddin University-Erbil; Sana'a University; San Diego State University; Saveh University of Medical Sciences; Sechenov University; Seoul National University; Shahid Beheshti University of Medical Sciences; Shahroud University of Medical Sciences; Sharif University of Technology; Sheffield Hallam University; Sher-i-Kashmir Institute of Medical Sciences; Shiraz University of Medical Sciences; Simmons University; Simon Fraser University; South African Medical Research Council; Southern University of Science and Technology; South Western Sydney Local Health District; Sree Chitra Thirunal Institute for Medical Sciences and Technology; Stanford University; State University of Semarang; Stellenbosch University; St. Paul's Hospital, Vancouver, Canada; Suez Canal University; Suraj Eye Institute; Tabriz University of Medical Sciences; Taipei Medical University; Taleghani General Hospital; Tarbiat Modares University; Technical University of Berlin; Tehran University of Medical Sciences; The Ohio State University; The University of Sydney; Trường ĐH Nguyễn Tất Thành; Tsinghua University; Universidad Autónoma Metropolitana; Universidade de São Paulo; Universidade Federal de Minas Gerais; Universidade Federal de Sergipe; University College Hospital, Ibadan; University College London; University Hospital Heidelberg; University Medical Center Groningen; University North; University of Adelaide; University of Alabama at Birmingham; University of Applied and Environmental Sciences; University of Auckland; University of Barcelona; University of Bath; University of Belgrade; University of Benin; University of Bern; University of Bologna; University of Botswana; University of British Columbia; University of Calgary; University of California, Irvine; University of California, San Francisco; University of Cape Coast; University of Cape Town; University of Cartagena; University of Colombo; University of Dhaka; University of Edinburgh; University of Embu; University of Energy and Natural Resources; University of Gondar; University of Groningen; University of Haifa; University of Health and Allied Sciences; University of Helsinki; University of Hong Kong; University of Human Development; University of Ibadan; University of Illinois Urbana-Champaign; University of Jos; University of KwaZulu-Natal; University of Lagos; University of Lincoln; University of Lisbon; University of Macau; University of Malaya; University of Manitoba; University of Maragheh; University of Massachusetts Boston; University of Melbourne; University of Miami; University of Nairobi; University of Newcastle Australia; University of Nigeria; University of Oklahoma; University of Ottawa; University of Oxford; University of Peradeniya; University of Porto; University of Queensland; University of Sassari; University of Social Welfare and Rehabilitation Sciences; University of Southampton; University of South Carolina; University of South Florida; University of Tartu; University of the Coast; University of the Philippines Manila; University of Thessaly; University of the Witwatersrand; University of Tokyo; University of Toronto; University of Twente; University of Valencia; University of Virginia; University of Warwick; University of Washington; University of Western Australia; UNSW Sydney; Uppsala University; Uppsala University Hospital; Urho Kaleva Kekkonen Institute; Urmia University; Wenzhou Medical University; Western Sydney University; Wollega University; Wollo University; Wuhan University; Wuhan University of Science and Technology; Xiamen University Malaysia; Yale University; Yonsei University; York University; Zabol University of Medical Sciences; Zhengzhou University",2019-10-16
48946,1367,"Mapping 123 million neonatal, infant and child deaths between 2000 and 2017",Nature,Article,True,hybrid,11 Medical and Health Sciences; 1117 Public Health and Health Services; 42 Health Sciences; 4206 Public Health; 44 Human Society; 4406 Human Geography,"Aarhus University; Addis Ababa University; African Population and Health Research Center; Aga Khan University, Karachi, Pakistan; Ahmadu Bello University; Ahvaz Jundishapur University of Medical Sciences; Ain Shams University; Aksum University; Alexandria University; Alfaisal University; Amirkabir University of Technology; Amrita Institute of Medical Sciences and Research Centre; Antwerp University Hospital; Arak University of Medical Sciences; Arba Minch University; Ardabil University of Medical Sciences; Ateneo de Manila University; Atlanta VA Medical Center; A.T. Still University; Australian Catholic University; Australian National University; Australian Red Cross Lifeblood; Autonomous University of Madrid; Autonomous University of Sinaloa; Babol University of Medical Sciences; Bahir Dar University; Baker IDI Heart and Diabetes Institute; Ball State University; Beijing Tongren Hospital; Bielefeld University; Birjand University of Medical Sciences; Birmingham City University; Bournemouth University; BRAC University; Brighton and Sussex Medical School; Cairo University; Campus Kristiania; Cardiff University; Carol Davila University of Medicine and Pharmacy; Catholic University of Portugal; Central University of Kerala; Centre for Healthy Start Initiative; Centre for the AIDS Programme of Research in South Africa; Centro de Investigación Biomédica en Red de Salud Mental; Chalmers University of Technology; Chinese University of Hong Kong; Clinical Emergency Hospital Bucharest; Curtin University; Damietta University; Deakin University; Debre Berhan University; Delhi Technological University; Department of Health and Social Affairs; Dezful University of Medical Sciences; Dilla University; Dongguk University; Dow University of Health Sciences; Dr. D. Y. Patil Medical College, Hospital and Research Centre; Duke Kunshan University; Duy Tan University; Emory University; Employees' State Insurance Model Hospital; Federal Institute for Population Research; Federal University of Bahia; Federal University of Rio Grande do Sul; Federal University of Uberlândia; Finnish Institute of Occupational Health; Foundation University Medical College; Friedrich Schiller University Jena; Gandhi Medical College; George Institute for Global Health, New Delhi, India; Ghent University; Golestan University of Medical Sciences; Gomal University; Guilan University of Medical Sciences; Gulu University; Hamad bin Khalifa University; Hamad Medical Corporation; Hamdan Bin Mohammed Smart University; Hamedan University of Medical Sciences; Hanoi Medical University; Hanoi National University of Education; Haramaya University; Harvard University; Healis Sekhsaria Institute For Public Health; Health Services Academy; Heidelberg University, Heidelberg, Germany; Helsinki University Hospital; Hong Kong Polytechnic University; Hospital for Sick Children; Hospital Universitario de la Princesa; Hospital Universitario HM Madrid; IIHMR University; Imam Abdulrahman Bin Faisal University; Imam Muhammad ibn Saud Islamic University; Imperial College London; Indian Institute of Technology Delhi; Institució Catalana de Recerca i Estudis Avançats; Institute for Research in Fundamental Sciences; Instituto Conmemorativo Gorgas de Estudios de la Salud; Instituto de Salud Carlos III; Instituto Nacional de Salud, Lima, Peru; Instituto Nacional de Salud Pública; International Centre for Diarrhoeal Disease Research; International Institute for Population Sciences; International Medical University; Iran University of Medical Sciences; Isfahan University of Medical Sciences; Islamic Azad University, Karaj; Italian Association for Cancer Research; Jackson State University; Jahrom University of Medical Sciences; Jazan University; Jimma University; John H. Stroger, Jr. Hospital of Cook County; Johns Hopkins University; Jordan University of Science and Technology; Jos University Teaching Hospital; JSS University; Kaiser Permanente; Karolinska Institute; Kathmandu University; Kermanshah University of Medical Sciences; Kerman University of Medical Sciences; King Saud University; King's College London; Klinički centar Srbije; Kobe University; Kosin University; Kurdistan University of Medical Sciences; Kuwait University; Kyrgyz State Medical Academy; La Trobe University; Liverpool School of Tropical Medicine; London School of Hygiene & Tropical Medicine; Lorestan University of Medical Sciences; Mansoura University; Mario Negri Institute for Pharmacological Research; Martin Luther University Halle-Wittenberg; Mashhad University of Medical Sciences; Mayo Clinic, Rochester, United States; Mazandaran University of Medical Sciences; McMaster University; Medical University of Ilam; Medichem (Spain); Mekelle University; Michigan State University; Ministry of Health, Riyadh, Saudi Arabia; Mizan Tepi University; Monash University; Moscow Institute of Physics and Technology; MRC Epidemiology Unit; Muhammadiyah University of Surakarta; Murdoch Children's Research Institute; Næstved, Slagelse and Ringsted Hospitals; Nanjing University; Nanyang Technological University; National Autonomous University of Mexico; National Center of Neurology and Psychiatry; National Institute of Cancer Prevention and Research; National Institute of Cholera and Enteric Diseases; National Institute of Infectious Diseases; National Research University Higher School of Economics; National University of Colombia; National University of Malaysia; National University of Singapore; Nepal Academy of Science and Technology; Nepal Health Research Council; NIHR Oxford Musculoskeletal Biomedical Research Centre; Nishtar Medical College and Hospital; Nizam's Institute of Medical Sciences; Ohio University; Opole University; Örebro University; Osaka International Cancer Institute; OsloMet – Oslo Metropolitan University; Oswaldo Cruz Foundation; Ottawa Hospital; Pacific Institute For Research and Evaluation; Panjab University; Pfizer (United States); Policlinico S.Orsola-Malpighi; Population Council, New Delhi, India; Post Graduate Institute of Medical Education and Research; PSG Institute of Medical Sciences & Research; Public Health Agency of Canada; Public Health England; Public Health Foundation of India; Qatar Foundation; Qazvin University of Medical Sciences; Qom University of Medical Science and Health Services; Queensland Health; Queensland University of Technology; Radboud University Nijmegen; Raffles Neuroscience Centre; Rafsanjan University of Medical Sciences; Royal Children's Hospital; Salahaddin University-Erbil; Sana'a University; San Diego State University; Saveh University of Medical Sciences; Sechenov University; Seoul National University; Shahid Beheshti University of Medical Sciences; Shahroud University of Medical Sciences; Sharif University of Technology; Sheffield Hallam University; Sher-i-Kashmir Institute of Medical Sciences; Shiraz University of Medical Sciences; Simmons University; Simon Fraser University; South African Medical Research Council; Southern University of Science and Technology; South Western Sydney Local Health District; Sree Chitra Thirunal Institute for Medical Sciences and Technology; Stanford University; State University of Semarang; Stellenbosch University; St. Paul's Hospital, Vancouver, Canada; Suez Canal University; Suraj Eye Institute; Tabriz University of Medical Sciences; Taipei Medical University; Taleghani General Hospital; Tarbiat Modares University; Technical University of Berlin; Tehran University of Medical Sciences; The Ohio State University; The University of Sydney; Trường ĐH Nguyễn Tất Thành; Tsinghua University; Universidad Autónoma Metropolitana; Universidade de São Paulo; Universidade Federal de Minas Gerais; Universidade Federal de Sergipe; University College Hospital, Ibadan; University College London; University Hospital Heidelberg; University Medical Center Groningen; University North; University of Adelaide; University of Alabama at Birmingham; University of Applied and Environmental Sciences; University of Auckland; University of Barcelona; University of Bath; University of Belgrade; University of Benin; University of Bern; University of Bologna; University of Botswana; University of British Columbia; University of Calgary; University of California, Irvine; University of California, San Francisco; University of Cape Coast; University of Cape Town; University of Cartagena; University of Colombo; University of Dhaka; University of Edinburgh; University of Embu; University of Energy and Natural Resources; University of Gondar; University of Groningen; University of Haifa; University of Health and Allied Sciences; University of Helsinki; University of Hong Kong; University of Human Development; University of Ibadan; University of Illinois Urbana-Champaign; University of Jos; University of KwaZulu-Natal; University of Lagos; University of Lincoln; University of Lisbon; University of Macau; University of Malaya; University of Manitoba; University of Maragheh; University of Massachusetts Boston; University of Melbourne; University of Miami; University of Nairobi; University of Newcastle Australia; University of Nigeria; University of Oklahoma; University of Ottawa; University of Oxford; University of Peradeniya; University of Porto; University of Queensland; University of Sassari; University of Social Welfare and Rehabilitation Sciences; University of Southampton; University of South Carolina; University of South Florida; University of Tartu; University of the Coast; University of the Philippines Manila; University of Thessaly; University of the Witwatersrand; University of Tokyo; University of Toronto; University of Twente; University of Valencia; University of Virginia; University of Warwick; University of Washington; University of Western Australia; UNSW Sydney; Uppsala University; Uppsala University Hospital; Urho Kaleva Kekkonen Institute; Urmia University; Wenzhou Medical University; Western Sydney University; Wollega University; Wollo University; Wuhan University; Wuhan University of Science and Technology; Xiamen University Malaysia; Yale University; Yonsei University; York University; Zabol University of Medical Sciences; Zhengzhou University",2019-10-16
