Publication_Date,count,sum,min,max,mean
1947.0,1,6,6,6,6.0
1960.0,1,14,14,14,14.0
1961.0,1,3,3,3,3.0
1966.0,1,3,3,3,3.0
1967.0,3,6,0,3,2.0
1968.0,3,7,1,3,2.3333333333333335
1969.0,7,26,0,14,3.7142857142857144
1970.0,13,427,0,357,32.84615384615385
1971.0,5,7,0,4,1.4
1972.0,4,19,0,12,4.75
1973.0,11,41,0,16,3.727272727272727
1974.0,5,21,0,12,4.2
1975.0,9,24,0,18,2.6666666666666665
1976.0,18,69,0,33,3.8333333333333335
1977.0,19,43,0,6,2.263157894736842
1978.0,17,40,0,6,2.3529411764705883
1979.0,23,41,0,13,1.7826086956521738
1980.0,12,25,0,6,2.0833333333333335
1981.0,11,27,0,6,2.4545454545454546
1982.0,11,29,0,6,2.6363636363636362
1983.0,6,33,3,9,5.5
1984.0,8,13,0,6,1.625
1985.0,13,17,0,3,1.3076923076923077
1986.0,9,18,0,3,2.0
1987.0,5,15,0,6,3.0
1988.0,13,13,0,6,1.0
1989.0,9,12,0,3,1.3333333333333333
1990.0,7,27,0,6,3.857142857142857
1991.0,11,27,0,6,2.4545454545454546
1992.0,16,24,0,6,1.5
1993.0,9,12,0,3,1.3333333333333333
1994.0,29,32,0,6,1.103448275862069
1995.0,25,25,0,6,1.0
1996.0,45,198,0,106,4.4
1997.0,48,83,0,6,1.7291666666666667
1998.0,44,66,0,6,1.5
1999.0,61,119,0,12,1.9508196721311475
2000.0,76,154,0,19,2.026315789473684
2001.0,114,207,0,9,1.8157894736842106
2002.0,188,389,0,73,2.0691489361702127
2003.0,261,467,0,19,1.789272030651341
2004.0,327,553,0,14,1.691131498470948
2005.0,435,679,0,22,1.560919540229885
2006.0,694,1324,0,58,1.9077809798270893
2007.0,1037,1683,0,61,1.6229508196721312
2008.0,1362,2222,0,111,1.631424375917768
2009.0,1696,2946,0,139,1.7370283018867925
2010.0,1766,3075,0,107,1.7412231030577576
2011.0,2531,5249,0,333,2.0738838403792967
2012.0,3209,6358,0,471,1.9813025864755376
2013.0,3731,7655,0,764,2.051728759045832
2014.0,4224,7808,0,295,1.8484848484848484
2015.0,4479,10437,0,661,2.330207635632954
2016.0,5216,14354,0,1017,2.7519171779141103
2017.0,5889,14529,0,906,2.467142129393785
2018.0,6014,20491,0,2043,3.4072164948453607
2019.0,6136,24633,0,1367,4.014504563233377
2020.0,6750,32740,0,4568,4.850370370370371
2021.0,8264,30454,0,1629,3.6851403678606003
2022.0,7690,31922,0,1410,4.15110533159948
2023.0,703,1491,0,106,2.120910384068279
