University,Overall_Articles,count,mean,max,min,std
University of Tehran,72103,16194,3.995862665,4568,0,56.22468112
Tarbiat Modares University,37452,8870,3.917249154,2043,0,35.92752012
Sharif University of Technology,34387,6866,2.918729974,1367,0,23.91350233
Amir Kabir University,35987,5753,1.788632018,1367,0,22.82488735
University of Shiraz,24052,5572,2.689698492,633,0,15.22868511
Ferdowsi University of Mashhad,23221,4910,3.114052953,1017,0,21.33060071
Shahid Beheshti University,21230,4793,3.412476528,1410,0,27.23387522
Isfahan University of Technology,22410,4724,2.270956816,372,0,9.669328228
Iran University of Science and Technology,28100,4356,1.435261708,507,0,9.761763122
University of Tabriz,23796,4130,1.948184019,349,0,8.935398395
University of Isfahan,12960,3103,3.471156945,623,0,19.01759653
K. N. Toosi University of Technology,14995,2103,1.725630052,221,0,7.409995581
University of Guilan,11113,2049,3.16056613,790,0,21.22298574
Allameh Tabataba'i University,2411,461,9.62472885,1629,0,88.06906971
Imam Hossein University,1105,125,1.944,25,0,3.04616099
