,twitter,facebook,news,policy
usa,57.0,54.0,60.0,33.0
uk,44.0,39.0,44.0,19.0
japan,17.0,2.0,2.0,0.0
spain,17.0,8.0,10.0,1.0
canada,17.0,22.0,13.0,11.0
france,15.0,0.0,10.0,9.0
germany,14.0,7.0,15.0,8.0
switzerland,14.0,2.0,1.0,52.0
australia,13.0,12.0,20.0,5.0
india,11.0,6.0,20.0,0.0
iran,8.0,0.0,8.0,0.0
malysia,4.0,0.0,1.0,0.0
brazil,4.0,16.0,2.0,2.0
mexico,4.0,1.0,0.0,0.0
belgium,4.0,1.0,1.0,10.0
netherlands,3.0,3.0,5.0,10.0
singapor,2.0,0.0,4.0,0.0
turkey,1.0,0.0,3.0,0.0
italy,1.0,10.0,6.0,28.0
brunei,1.0,0.0,0.0,0.0
finland,1.0,2.0,0.0,0.0
hungary,1.0,0.0,0.0,0.0
serbia,0.0,6.0,0.0,0.0
pakistan,0.0,5.0,0.0,0.0
costa rica,0.0,3.0,0.0,0.0
new zealand,0.0,3.0,8.0,0.0
south africa,0.0,3.0,3.0,6.0
argentina,0.0,3.0,2.0,0.0
greece,0.0,2.0,0.0,0.0
ireland,0.0,2.0,1.0,6.0
sweden,0.0,2.0,1.0,10.0
slovakia,0.0,2.0,0.0,0.0
poland,0.0,2.0,0.0,0.0
russia,0.0,2.0,10.0,0.0
estonia,0.0,2.0,1.0,0.0
portugal,0.0,2.0,2.0,0.0
Denmark,0.0,2.0,0.0,4.0
norway,0.0,1.0,0.0,3.0
thailand,0.0,1.0,0.0,0.0
china,0.0,1.0,5.0,0.0
algeria,0.0,1.0,0.0,0.0
egypt,0.0,1.0,0.0,0.0
lebanon,0.0,1.0,0.0,0.0
qatar,0.0,1.0,0.0,0.0
austria,0.0,1.0,0.0,0.0
hong kong,0.0,1.0,0.0,0.0
philipines,0.0,1.0,1.0,9.0
israel,0.0,0.0,2.0,0.0
bangladesh,0.0,0.0,1.0,0.0
ukraine,0.0,0.0,1.0,0.0
uae,0.0,0.0,1.0,4.0
armenia,0.0,0.0,1.0,0.0
croatia,0.0,0.0,1.0,0.0
jamaica,0.0,0.0,1.0,0.0
jordan,0.0,0.0,1.0,0.0
nepal,0.0,0.0,1.0,0.0
nigeria,0.0,0.0,1.0,0.0
indonesia,0.0,0.0,1.0,0.0
italy ,0.0,0.0,1.0,0.0
south korea,0.0,0.0,1.0,0.0
luxembourg,0.0,0.0,0.0,19.0
kenya,0.0,0.0,0.0,5.0
chile,0.0,0.0,0.0,3.0
uganda,0.0,0.0,0.0,2.0
botswana,0.0,0.0,0.0,1.0
morocco,0.0,0.0,0.0,1.0
georgia,0.0,0.0,0.0,1.0
south africa ,0.0,0.0,0.0,1.0
