,atu,ut,uisf,sut,tmu,aut,ushi,fum,sbu,iut,iust,utab,knu,ugui,ihu
usa,12.0,15.0,15.0,16.0,13.0,13.0,15.0,12.0,14.0,14.0,16.0,13.0,14.0,15.0,7.0
uk,9.0,10.0,10.0,10.0,11.0,12.0,10.0,12.0,11.0,7.0,10.0,8.0,10.0,10.0,6.0
switzerland,6.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,7.0,5.0,2.0,4.0
japan,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
australia,4.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,5.0,3.0,3.0,1.0
france,4.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0
canada,3.0,6.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0
germany,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0
belgium,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0
malysia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
italy,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,6.0,0.0,3.0,1.0,5.0,0.0
ireland,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
new zealand,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
sweden,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
india,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0
philipines,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
spain,1.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,0.0
iran,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0
costa rica,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
greece,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
bangladesh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,3.0,0.0
russia,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
israel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
netherlands,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0
singapor,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
